"powo_id","family","genus","species","taxon_name","taxon_authors","RL.cat","EDGE","ED","lifeform_description","accepted_plant_name_id","group","plant_locality_id","continent_code_l1","continent","region_code_l2","region","area_code_l3","area","introduced","extinct","location_doubtful"
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540852,7,"NORTHERN AMERICA",75,"Northeastern U.S.A.","VER","Vermont",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540853,7,"NORTHERN AMERICA",75,"Northeastern U.S.A.","WVA","West Virginia",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",4858415,7,"NORTHERN AMERICA",78,"Southeastern U.S.A.","MRY","Maryland",0,0,0
"1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms",540854,7,"NORTHERN AMERICA",78,"Southeastern U.S.A.","VRG","Virginia",0,0,0
"676549-1","Pinaceae","Abies","beshanzuensis","Abies beshanzuensis","M.H.Wu","CR",1.942332035,2.105113574,"tree",381658,"Gymnosperms",536047,3,"ASIA-TEMPERATE",36,"China","CHS","China Southeast",0,0,0
"1146685-2","Pinaceae","Abies","bracteata","Abies bracteata","(D.Don) Poit.","NT",1.113967797,9.178004,"tree",381668,"Gymnosperms",536049,7,"NORTHERN AMERICA",76,"Southwestern U.S.A.","CAL","California",0,0,0
"261486-1","Pinaceae","Abies","cephalonica","Abies cephalonica","Loudon","LC",0.24318899,4.09448592,"tree",381681,"Gymnosperms",621148,1,"EUROPE",13,"Southeastern Europe","ALB","Albania",0,0,0
"261486-1","Pinaceae","Abies","cephalonica","Abies cephalonica","Loudon","LC",0.24318899,4.09448592,"tree",381681,"Gymnosperms",536050,1,"EUROPE",13,"Southeastern Europe","GRC","Greece",0,0,0
"676557-1","Pinaceae","Abies","chensiensis","Abies chensiensis","Tiegh.","LC",0.060108947,1.004085,"tree",381689,"Gymnosperms",536053,3,"ASIA-TEMPERATE",36,"China","CHC","China South-Central",0,0,0
"676557-1","Pinaceae","Abies","chensiensis","Abies chensiensis","Tiegh.","LC",0.060108947,1.004085,"tree",381689,"Gymnosperms",536054,3,"ASIA-TEMPERATE",36,"China","CHN","China North-Central",0,0,0
"676557-1","Pinaceae","Abies","chensiensis","Abies chensiensis","Tiegh.","LC",0.060108947,1.004085,"tree",381689,"Gymnosperms",536055,3,"ASIA-TEMPERATE",36,"China","CHS","China Southeast",0,0,0
"676557-1","Pinaceae","Abies","chensiensis","Abies chensiensis","Tiegh.","LC",0.060108947,1.004085,"tree",381689,"Gymnosperms",610956,3,"ASIA-TEMPERATE",36,"China","CHT","Tibet",0,0,0
"676557-1","Pinaceae","Abies","chensiensis","Abies chensiensis","Tiegh.","LC",0.060108947,1.004085,"tree",381689,"Gymnosperms",610957,4,"ASIA-TROPICAL",40,"Indian Subcontinent","EHM","East Himalaya",0,0,0
"261491-1","Pinaceae","Abies","cilicica","Abies cilicica","(Antoine & Kotschy) Carrière","NT",0.12872564,1.062298494,"tree",381699,"Gymnosperms",536060,3,"ASIA-TEMPERATE",34,"Western Asia","LBS","Lebanon-Syria",0,0,0
"261491-1","Pinaceae","Abies","cilicica","Abies cilicica","(Antoine & Kotschy) Carrière","NT",0.12872564,1.062298494,"tree",381699,"Gymnosperms",536061,3,"ASIA-TEMPERATE",34,"Western Asia","TUR","Turkey",0,0,0
"1031026-2","Pinaceae","Abies","concolor","Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","LC",0.153754837,2.4277,"tree",381713,"Gymnosperms",536063,7,"NORTHERN AMERICA",73,"Northwestern U.S.A.","COL","Colorado",0,0,0
"1031026-2","Pinaceae","Abies","concolor","Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","LC",0.153754837,2.4277,"tree",381713,"Gymnosperms",536064,7,"NORTHERN AMERICA",73,"Northwestern U.S.A.","IDA","Idaho",0,0,0
"1031026-2","Pinaceae","Abies","concolor","Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","LC",0.153754837,2.4277,"tree",381713,"Gymnosperms",536065,7,"NORTHERN AMERICA",73,"Northwestern U.S.A.","ORE","Oregon",0,0,0
"1031026-2","Pinaceae","Abies","concolor","Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","LC",0.153754837,2.4277,"tree",381713,"Gymnosperms",536066,7,"NORTHERN AMERICA",73,"Northwestern U.S.A.","WYO","Wyoming",0,0,0
"1031026-2","Pinaceae","Abies","concolor","Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","LC",0.153754837,2.4277,"tree",381713,"Gymnosperms",536067,7,"NORTHERN AMERICA",76,"Southwestern U.S.A.","ARI","Arizona",0,0,0
"1031026-2","Pinaceae","Abies","concolor","Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","LC",0.153754837,2.4277,"tree",381713,"Gymnosperms",536068,7,"NORTHERN AMERICA",76,"Southwestern U.S.A.","CAL","California",0,0,0
"1031026-2","Pinaceae","Abies","concolor","Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","LC",0.153754837,2.4277,"tree",381713,"Gymnosperms",536069,7,"NORTHERN AMERICA",76,"Southwestern U.S.A.","NEV","Nevada",0,0,0
"1031026-2","Pinaceae","Abies","concolor","Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","LC",0.153754837,2.4277,"tree",381713,"Gymnosperms",536070,7,"NORTHERN AMERICA",76,"Southwestern U.S.A.","UTA","Utah",0,0,0
"1031026-2","Pinaceae","Abies","concolor","Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","LC",0.153754837,2.4277,"tree",381713,"Gymnosperms",753977,7,"NORTHERN AMERICA",77,"South-Central U.S.A.","NWM","New Mexico",0,0,0
"1031026-2","Pinaceae","Abies","concolor","Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","LC",0.153754837,2.4277,"tree",381713,"Gymnosperms",540867,7,"NORTHERN AMERICA",79,"Mexico","MXE","Mexico Northeast",0,0,0
"1031026-2","Pinaceae","Abies","concolor","Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","LC",0.153754837,2.4277,"tree",381713,"Gymnosperms",536071,7,"NORTHERN AMERICA",79,"Mexico","MXN","Mexico Northwest",0,0,0
"261505-1","Pinaceae","Abies","delavayi","Abies delavayi","Franch.","LC",0.026847623,0.481030828,"tree",381727,"Gymnosperms",536074,3,"ASIA-TEMPERATE",36,"China","CHC","China South-Central",0,0,0
"261505-1","Pinaceae","Abies","delavayi","Abies delavayi","Franch.","LC",0.026847623,0.481030828,"tree",381727,"Gymnosperms",536075,3,"ASIA-TEMPERATE",36,"China","CHT","Tibet",0,0,0
"261505-1","Pinaceae","Abies","delavayi","Abies delavayi","Franch.","LC",0.026847623,0.481030828,"tree",381727,"Gymnosperms",536076,4,"ASIA-TROPICAL",40,"Indian Subcontinent","EHM","East Himalaya",0,0,0
"261505-1","Pinaceae","Abies","delavayi","Abies delavayi","Franch.","LC",0.026847623,0.481030828,"tree",381727,"Gymnosperms",536077,4,"ASIA-TROPICAL",41,"Indo-China","MYA","Myanmar",0,0,0
"261505-1","Pinaceae","Abies","delavayi","Abies delavayi","Franch.","LC",0.026847623,0.481030828,"tree",381727,"Gymnosperms",610966,4,"ASIA-TROPICAL",41,"Indo-China","VIE","Vietnam",0,0,0
"261506-1","Pinaceae","Abies","densa","Abies densa","Griff.","LC",0.185730123,3.33522456,"tree",381736,"Gymnosperms",540870,3,"ASIA-TEMPERATE",36,"China","CHT","Tibet",0,0,0
"261506-1","Pinaceae","Abies","densa","Abies densa","Griff.","LC",0.185730123,3.33522456,"tree",381736,"Gymnosperms",610967,4,"ASIA-TROPICAL",40,"Indian Subcontinent","ASS","Assam",0,0,0
"261506-1","Pinaceae","Abies","densa","Abies densa","Griff.","LC",0.185730123,3.33522456,"tree",381736,"Gymnosperms",540869,4,"ASIA-TROPICAL",40,"Indian Subcontinent","EHM","East Himalaya",0,0,0
"261506-1","Pinaceae","Abies","densa","Abies densa","Griff.","LC",0.185730123,3.33522456,"tree",381736,"Gymnosperms",540868,4,"ASIA-TROPICAL",40,"Indian Subcontinent","NEP","Nepal",0,0,0
"676563-1","Pinaceae","Abies","durangensis","Abies durangensis","Martínez","LC",0.093048528,1.550917214,"tree",381744,"Gymnosperms",536081,7,"NORTHERN AMERICA",79,"Mexico","MXE","Mexico Northeast",0,0,0
"676563-1","Pinaceae","Abies","durangensis","Abies durangensis","Martínez","LC",0.093048528,1.550917214,"tree",381744,"Gymnosperms",536082,7,"NORTHERN AMERICA",79,"Mexico","MXN","Mexico Northwest",0,0,0
"676563-1","Pinaceae","Abies","durangensis","Abies durangensis","Martínez","LC",0.093048528,1.550917214,"tree",381744,"Gymnosperms",536083,7,"NORTHERN AMERICA",79,"Mexico","MXS","Mexico Southwest",0,0,0
"77261659-1","Pinaceae","Abies","delavayi","Abies delavayi var. fabri","(Mast.) D.R.Hunt","VU",0.176778075,0.736535,"tree",381729,"Gymnosperms",4854721,3,"ASIA-TEMPERATE",36,"China","CHC","China South-Central",0,0,0
"903410-1","Pinaceae","Abies","fanjingshanensis","Abies fanjingshanensis","W.L.Huang, Y.L.Tu & S.Z.Fang","EN",1.386522628,2.707705,"tree",381770,"Gymnosperms",536087,3,"ASIA-TEMPERATE",36,"China","CHC","China South-Central",0,0,0
"261522-1","Pinaceae","Abies","fargesii","Abies fargesii","Franch.","LC",0.074375003,1.317234,"tree",381772,"Gymnosperms",536089,3,"ASIA-TEMPERATE",36,"China","CHC","China South-Central",0,0,0
"261522-1","Pinaceae","Abies","fargesii","Abies fargesii","Franch.","LC",0.074375003,1.317234,"tree",381772,"Gymnosperms",536090,3,"ASIA-TEMPERATE",36,"China","CHN","China North-Central",0,0,0
"261525-1","Pinaceae","Abies","firma","Abies firma","Siebold & Zucc.","LC",0.026043248,0.406687061,"tree",381782,"Gymnosperms",536094,3,"ASIA-TEMPERATE",38,"Eastern Asia","JAP","Japan",0,0,0
"271462-2","Pinaceae","Abies","flinckii","Abies flinckii","Rushforth",NA,0.555696379,1.635337001,"tree",381783,"Gymnosperms",774273,7,"NORTHERN AMERICA",79,"Mexico","MXS","Mexico Southwest",0,0,0
"676570-1","Pinaceae","Abies","forrestii","Abies forrestii","Coltm.-Rog.","LC",0.075529105,1.186252,"tree",381784,"Gymnosperms",536095,3,"ASIA-TEMPERATE",36,"China","CHC","China South-Central",0,0,0
"676570-1","Pinaceae","Abies","forrestii","Abies forrestii","Coltm.-Rog.","LC",0.075529105,1.186252,"tree",381784,"Gymnosperms",536096,3,"ASIA-TEMPERATE",36,"China","CHT","Tibet",0,0,0
"1030488-2","Pinaceae","Abies","fraseri","Abies fraseri","(Pursh) Poir.","EN",0.627304308,1.426942,"tree",381792,"Gymnosperms",536103,7,"NORTHERN AMERICA",78,"Southeastern U.S.A.","NCA","North Carolina",0,0,0
"1030488-2","Pinaceae","Abies","fraseri","Abies fraseri","(Pursh) Poir.","EN",0.627304308,1.426942,"tree",381792,"Gymnosperms",536104,7,"NORTHERN AMERICA",78,"Southeastern U.S.A.","TEN","Tennessee",0,0,0
"1030488-2","Pinaceae","Abies","fraseri","Abies fraseri","(Pursh) Poir.","EN",0.627304308,1.426942,"tree",381792,"Gymnosperms",536105,7,"NORTHERN AMERICA",78,"Southeastern U.S.A.","VRG","Virginia",0,0,0
"1033427-2","Pinaceae","Abies","grandis","Abies grandis","(Douglas ex D.Don) Lindl.","LC",0.104959683,1.832527,"tree",381804,"Gymnosperms",536106,7,"NORTHERN AMERICA",71,"Western Canada","BRC","British Columbia",0,0,0
"1033427-2","Pinaceae","Abies","grandis","Abies grandis","(Douglas ex D.Don) Lindl.","LC",0.104959683,1.832527,"tree",381804,"Gymnosperms",536107,7,"NORTHERN AMERICA",73,"Northwestern U.S.A.","IDA","Idaho",0,0,0
"1033427-2","Pinaceae","Abies","grandis","Abies grandis","(Douglas ex D.Don) Lindl.","LC",0.104959683,1.832527,"tree",381804,"Gymnosperms",536108,7,"NORTHERN AMERICA",73,"Northwestern U.S.A.","MNT","Montana",0,0,0
"1033427-2","Pinaceae","Abies","grandis","Abies grandis","(Douglas ex D.Don) Lindl.","LC",0.104959683,1.832527,"tree",381804,"Gymnosperms",536109,7,"NORTHERN AMERICA",73,"Northwestern U.S.A.","ORE","Oregon",0,0,0
"1033427-2","Pinaceae","Abies","grandis","Abies grandis","(Douglas ex D.Don) Lindl.","LC",0.104959683,1.832527,"tree",381804,"Gymnosperms",536110,7,"NORTHERN AMERICA",73,"Northwestern U.S.A.","WAS","Washington",0,0,0
"1033427-2","Pinaceae","Abies","grandis","Abies grandis","(Douglas ex D.Don) Lindl.","LC",0.104959683,1.832527,"tree",381804,"Gymnosperms",536111,7,"NORTHERN AMERICA",76,"Southwestern U.S.A.","CAL","California",0,0,0
"676575-1","Pinaceae","Abies","guatemalensis","Abies guatemalensis","Rehder","EN",0.517979296,1.050908883,"tree",381810,"Gymnosperms",540920,7,"NORTHERN AMERICA",79,"Mexico","MXE","Mexico Northeast",0,0,0
"676575-1","Pinaceae","Abies","guatemalensis","Abies guatemalensis","Rehder","EN",0.517979296,1.050908883,"tree",381810,"Gymnosperms",536112,7,"NORTHERN AMERICA",79,"Mexico","MXS","Mexico Southwest",0,0,0
"676575-1","Pinaceae","Abies","guatemalensis","Abies guatemalensis","Rehder","EN",0.517979296,1.050908883,"tree",381810,"Gymnosperms",536113,7,"NORTHERN AMERICA",79,"Mexico","MXT","Mexico Southeast",0,0,0
"676575-1","Pinaceae","Abies","guatemalensis","Abies guatemalensis","Rehder","EN",0.517979296,1.050908883,"tree",381810,"Gymnosperms",536114,8,"SOUTHERN AMERICA",80,"Central America","ELS","El Salvador",0,0,0
"676575-1","Pinaceae","Abies","guatemalensis","Abies guatemalensis","Rehder","EN",0.517979296,1.050908883,"tree",381810,"Gymnosperms",536115,8,"SOUTHERN AMERICA",80,"Central America","GUA","Guatemala",0,0,0
"676575-1","Pinaceae","Abies","guatemalensis","Abies guatemalensis","Rehder","EN",0.517979296,1.050908883,"tree",381810,"Gymnosperms",536116,8,"SOUTHERN AMERICA",80,"Central America","HON","Honduras",0,0,0
"676576-1","Pinaceae","Abies","hickelii","Abies hickelii","Flous & Gaussen","EN",0.511158868,1.051225163,"tree",381821,"Gymnosperms",536119,7,"NORTHERN AMERICA",79,"Mexico","MXS","Mexico Southwest",0,0,0
"676576-1","Pinaceae","Abies","hickelii","Abies hickelii","Flous & Gaussen","EN",0.511158868,1.051225163,"tree",381821,"Gymnosperms",536120,7,"NORTHERN AMERICA",79,"Mexico","MXT","Mexico Southeast",0,0,0
"301448-2","Pinaceae","Abies","hidalgensis","Abies hidalgensis","Debreczy, I.Rácz & Guízar","VU",0.55976588,2.119524,"tree",381823,"Gymnosperms",536122,7,"NORTHERN AMERICA",79,"Mexico","MXE","Mexico Northeast",0,0,0
"261545-1","Pinaceae","Abies","holophylla","Abies holophylla","Maxim.","NT",0.207012393,1.716528,"tree",381827,"Gymnosperms",536123,3,"ASIA-TEMPERATE",31,"Russian Far East","PRM","Primorye",0,0,0
"261545-1","Pinaceae","Abies","holophylla","Abies holophylla","Maxim.","NT",0.207012393,1.716528,"tree",381827,"Gymnosperms",536124,3,"ASIA-TEMPERATE",36,"China","CHM","Manchuria",0,0,0
"261545-1","Pinaceae","Abies","holophylla","Abies holophylla","Maxim.","NT",0.207012393,1.716528,"tree",381827,"Gymnosperms",536125,3,"ASIA-TEMPERATE",38,"Eastern Asia","KOR","Korea",0,0,0
"261546-1","Pinaceae","Abies","homolepis","Abies homolepis","Siebold & Zucc.","NT",0.285121764,2.255947095,"tree",381829,"Gymnosperms",536126,3,"ASIA-TEMPERATE",38,"Eastern Asia","JAP","Japan",0,0,0
"77143585-1","Pinaceae","Abies","jaliscana","Abies jaliscana","(Martínez) Mantilla, Shalisko & A.Vázquez","NT",0.242735633,2.063583336,"tree",487922,"Gymnosperms",778154,7,"NORTHERN AMERICA",79,"Mexico","MXS","Mexico Southwest",0,0,0
"676581-1","Pinaceae","Abies","kawakamii","Abies kawakamii","(Hayata) Ito","NT",0.049914247,0.401572165,"tree",381842,"Gymnosperms",536128,3,"ASIA-TEMPERATE",38,"Eastern Asia","TAI","Taiwan",0,0,0
"676582-1","Pinaceae","Abies","koreana","Abies koreana","E.H.Wilson","EN",0.551430483,1.20943645,"tree",381844,"Gymnosperms",536129,3,"ASIA-TEMPERATE",38,"Eastern Asia","KOR","Korea",0,0,0
"1081948-2","Pinaceae","Abies","lasiocarpa","Abies lasiocarpa","(Hook.) Nutt.","LC",0.008546589,0.141222584,"tree",381853,"Gymnosperms",536130,7,"NORTHERN AMERICA",70,"Subarctic America","ASK","Alaska",0,0,0
"1081948-2","Pinaceae","Abies","lasiocarpa","Abies lasiocarpa","(Hook.) Nutt.","LC",0.008546589,0.141222584,"tree",381853,"Gymnosperms",536131,7,"NORTHERN AMERICA",70,"Subarctic America","NWT","Northwest Territorie",0,0,0
"1081948-2","Pinaceae","Abies","lasiocarpa","Abies lasiocarpa","(Hook.) Nutt.","LC",0.008546589,0.141222584,"tree",381853,"Gymnosperms",536132,7,"NORTHERN AMERICA",70,"Subarctic America","YUK","Yukon",0,0,0
"1081948-2","Pinaceae","Abies","lasiocarpa","Abies lasiocarpa","(Hook.) Nutt.","LC",0.008546589,0.141222584,"tree",381853,"Gymnosperms",536133,7,"NORTHERN AMERICA",71,"Western Canada","ABT","Alberta",0,0,0
